BAC,Bank of America Corp,,15.24,,
FB,Facebook Inc,,58.15,,
NOK,Nokia Corp,,7.43,,
BSBR,Banco Santander Brasil Sa,,6.58,,
SIRI,Sirius XM Radio Inc,,3.07,,
S,Sprint Corporation Series 1,,8.27,,
PFE,Pfizer Inc,,31.76,,
PLUG,Plug Power Inc,,4.81,,
BSX,Boston Scientific Corp,,12.73,,
MSFT,Microsoft Corp,,40.51,,
YHOO,Yahoo! Inc,,35.83,,
TWTR,Twitter Inc,,42.62,,
GE,General Electric Company,,26.76,,
F,Ford Motor Company,,16.12,,
PBR,Petroleo Brasileiro S.A.- Petrobras,,14.14,,
ZNGA,Zynga Inc,,3.95,,
INTC,Intel Corp,,26.48,,
RAD,Rite Aid Corp,,7.09,,
HBAN,Huntington Bancshares Inc,,9.05,,
FTR,Frontier Communications Corp,,5.85,,
NRF,Northstar Realty Finance,,15.9,,
MGM,MGM Resorts International,,24.98,,
COH,Coach Inc,,45.71,,
VALE,Vale S.A.,,13.36,,
T,AT&T Inc,,35.42,,
MU,Micron Technology,,25.1,,
GOGO,Gogo Inc,,13.12,,
KO,Coca-Cola Company,,40.57,,
CMCSA,Comcast Corp,,51.55,,
EMC,EMC Corp,,25.41,,
C,Citigroup Inc,,48.16,,
GILD,Gilead Sciences,,76.24,,
GT,Goodyear Tire & Rubber Company,,25.11,,
VZ,Verizon Communications Inc,,46.77,,
P,Pandora Media Inc,,23.92,,
BBD,Banco Bradesco Sa,,15.01,,
PBR.A,Petroleo Brasileiro S.A.- Petrobras,,14.94,,
DDD,3D Systems Corp,,44.8,,
ITUB,Itau Unibanco Banco Holding Sa,,16.41,,
ORCL,Oracle Corp,,40.11,,
CSCO,Cisco Systems,,23.16,,
JCP,J.C. Penney Company Inc,,8.82,,
WFC,Wells Fargo & Company,,49.47,,
AMD,Advanced Micro Devices,,4.03,,
AMAT,Applied Materials,,19.07,,
EBAY,Ebay Inc,,54.54,,
TSM,Taiwan Semiconductor Manufacturing,,20.1,,
MRK,Merck & Company,,58.72,,
JPM,JP Morgan Chase & Co,,56.1,,
ANR,Alpha Natural Resources,,4.36,,
GRPN,Groupon Inc,,7.09,,
AAPL,Apple Inc,,592.33,,
BMY,Bristol-Myers Squibb Company,,49.32,,
AZN,Astrazeneca Plc,,77.11,,
HPQ,Hewlett-Packard Company,,32.96,,
XRX,Xerox Corp,,12.11,,
JBLU,Jetblue Airways Corp,,7.77,,
FITB,Fifth Third Bancorp,,20.48,,
GM,General Motors Company,,33.99,,
FCEL,Fuelcell Energy,,2.18,,
RFMD,RF Micro Devices,,8.09,,
BBRY,Blackberry Limited,,7.67,,
CX,Cemex S.A.B. De C.V. Sponsored,,12.49,,
COG,Cabot Oil & Gas Corp,,39.13,,
BRCM,Broadcom Corp,,30.67,,
GLW,Corning Inc,,20.86,,
ABX,Barrick Gold Corp,,17.67,,
ARCP,American Realty Capital Propert,,12.93,,
SAN,Banco Santander,,9.82,,
AA,Alcoa Inc,,13.44,,
DOW,DOW Chemical Company,,48.7,,
NEM,Newmont Mining Corp,,25.02,,
ABEV,Ambev S.A.,,7.64,,
FOXA,21St Century Fox Class A,,32.01,,
KEY,Keycorp,,13.48,,
ODP,Office Depot,,4.03,,
YNDX,Yandex N.V.,,25.59,,
MS,Morgan Stanley,,30.52,,
CRM,Salesforce.Com Inc,,50.76,,
XOM,Exxon Mobil Corp,,101.45,,
BLDP,Ballard Power Systems,,3.7,,
DAL,Delta Air Lines Inc,,36.74,,
BTU,Peabody Energy Corp,,18.55,,
NVAX,Novavax Inc,,4.49,,
UAL,United Continental Holdings,,41.56,,
AUY,Yamana Gold,,7.64,,
WFT,Weatherford International Ltd,,20.76,,
KWK,Quicksilver Resources Inc,,3.29,,
SPLS,Staples Inc,,12.4,,
CDNS,Cadence Design Systems,,15.46,,
FCX,Freeport-Mcmoran Copper & Gold,,34.44,,
AAL,American Airlines Group Inc.,,35.51,,
IPG,Interpublic Group of Companies,,17.14,,
LVS,Las Vegas Sands,,78.62,,
MDLZ,Mondelez International Inc. Cl A,,35.6,,
PGR,Progressive Corp,,24.06,,
MO,Altria Group,,40.12,,
HAL,Halliburton Company,,63.01,,
QCOM,Qualcomm Inc,,78.52,,
HIG,Hartford Financial Services Group,,35.16,,
AVP,Avon Products,,15.16,,
NLY,Annaly Capital Management Inc,,11.35,,
TXN,Texas Instruments Inc,,46.12,,
VLO,Valero Energy Corp,,56.84,,
AGNC,American Capital Agency,,22.4,,
AIG,American International Group,,52.81,,
ARIA,Ariad Pharmaceuticals,,7.33,,
JNJ,Johnson & Johnson,,101.03,,
YELP,Yelp Inc,,58.92,,
MRO,Marathon Oil Corp,,36.9,,
ADM,Archer-Daniels-Midland Company,,43.23,,
SUNE,Sunedison Inc,,19.31,,
BP,BP P.L.C.,,50.29,,
EXC,Exelon Corp,,36.18,,
LO,Lorillard Inc,,57.51,,
WFM,Whole Foods Market,,49.13,,
NOV,National-Oilwell,,78.11,,
PG,Procter & Gamble Company,,82.44,,
TMUS,T-Mobile US Inc,,29.04,,
CRUS,Cirrus Logic,,23.46,,
RF,Regions Financial Corp,,10.09,,
KGC,Kinross Gold Corp,,4.12,,
SLB,Schlumberger N.V.,,101.39,,
XCO,Exco Resources NL,,6.11,,
ABB,Abb Ltd,,24.12,,
ALLY,Ally Financial,,24,,
CVX,Chevron Corp,,125.97,,
BX,The Blackstone Group L.P.,,29.99,,
MNKD,Mannkind Corp,,6.41,,
AMZN,Amazon.Com Inc,,300.38,,
MCD,McDonald's Corp,,101.5,,
FLEX,Flextronics International Ltd,,8.93,,
JNPR,Juniper Networks,,24.28,,
HST,Host Marriott Financial Trust,,20.93,,
MDR,McDermott International,,7.04,,
ESRX,Express Scripts,,71.01,,
TEVA,Teva Pharmaceutical Industries Ltd,,49.56,,
WIN,Windstream Holdings Inc,,9.04,,
HUN,Huntsman Corp,,25.13,,
USB,U.S. Bancorp,,40.57,,
IGT,International Game Technology,,12.25,,
KOG,Kodiak Oil,,12.48,,
DRYS,Dryships Inc,,2.9,,
SO,Southern Company,,46.36,,
ECA,Encana Corp,,23.48,,
WEN,The Wendy's Company,,8.3,,
LYB,Lyondellbasell Industries Nv,,90.97,,
ARR,Armour Residential R,,4.19,,
MAS,Masco Corp,,20.23,,
HK,Halcon Resources,,5.45,,
MA,Mastercard Inc,,72.03,,
HTZ,Hertz Global Holdings Inc,,28.18,,
BRCD,Brocade Communications Systems,,9.14,,
ETN,Eaton Corp,,72.15,,
TWX,Time Warner Inc,,64.74,,
BEE,Strategic Hotels & Resorts Inc,,10.54,,
AMKR,Amkor Technology,,7.8,,
TSLA,Tesla Motors,,206.92,,
XOMA,Xoma Ltd,,4.59,,
ALU,Alcatel Lucent,,3.9,,
WDAY,Workday Inc,,73.3,,
CCJ,Cameco Corp,,21.27,,
CBS,CBS Corp,,57.45,,
GNW,Genworth Financial Inc,,17.39,,
HLF,Herbalife Ltd,,60.15,,
GGB,Gerdau S.A.,,6.03,,
ABBV,Abbvie Inc. Common Stock,,51.37,,
FOLD,Amicus Therapeutics,,2.22,,
MET,Metlife Inc,,51.84,,
KMI,Kinder Morgan,,33.02,,
AES,The Aes Corp,,14.32,,
HCA,Hca Holdings Inc. Common Stock,,51.4,,
HIMX,Himax Technologies,,8.69,,
SLM,SLM Corp,,25.73,,
NE,Noble Corp,,30.83,,
ATML,Atmel Corp,,7.86,,
SU,Suncor Energy Inc,,38.94,,
MYL,Mylan Inc,,50.88,,
MPEL,Melco Crown Entertainment Limited,,34.58,,
CIT,Cit Group Inc [Del],,43.61,,
CHK,Chesapeake Energy Corp,,29.08,,
SONS,Sonus Networks,,3.03,,
DCT,Dct Industrial Trust Inc,,7.8,,
SYMC,Symantec Corp,,20.16,,
SD,Sandridge Energy Inc,,6.8,,
COP,Conocophillips,,74.68,,
BIDU,Baidu Inc,,155.15,,
MRVL,Marvell Technology Group,,15.87,,
HD,Home Depot,,79.52,,
SYN,Synthetic Biologics Inc,,2.1,,
LLY,Eli Lilly and Company,,59.62,,
SCHW,The Charles Schwab Corp,,26.58,,
SCTY,Solarcity Corp,,52.63,,
SNV,Synovus Financial Corp,,3.17,,
FEYE,Fireeye Inc,,38.83,,
BBY,Best Buy Co.,,25.79,,
CVS,CVS Corp,,73.47,,
DHI,D.R. Horton,,22.38,,
ACI,Arch Coal,,4.47,,
CAT,Caterpillar Inc,,105.3,,
